%timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
25556000,0.0,0.610865,0.00628046,0.0,0.953712,-0.000944285,0.300704,0.00299489,0.0,0.0,-0.08,1,0,0,0,0,0
25656000,0.0,0.610865,0.00625928,0.0,0.953712,-0.0009411,0.300704,0.00298479,0.0,0.0,-0.08,1,0,0,0,0,0
25696000,0.0,0.610865,0.00630136,0.0,0.953712,-0.000947426,0.300704,0.00300485,0.0,0.0,-0.08,1,0,0,0,0,0
29696000,0.0,0.0,0.00722663,0.0,0.999993,0.0,0.0,0.00361331,0.0,0.0,-0.0,1,0,0,0,0,0
29792000,0.0,0.0,0.00705179,0.0,0.999994,0.0,0.0,0.00352589,0.0,0.0,-0.0,1,0,0,0,0,0
29892000,0.0,0.0,0.00666889,0.0,0.999994,0.0,0.0,0.00333444,0.0,0.0,-0.0,1,0,0,0,0,0
29988000,0.0,0.0,0.00669498,0.0,0.999994,0.0,0.0,0.00334749,0.0,0.0,-0.0,1,0,0,0,0,0
30084000,0.0,0.0,0.0065249,0.0,0.999995,0.0,0.0,0.00326244,0.0,0.0,-0.0,1,0,0,0,0,0
30180000,0.0,0.0,0.006386,0.0,0.999995,0.0,0.0,0.003193,0.0,0.0,-0.0,1,0,0,0,0,0
30276000,0.0,0.0,0.00652763,0.0,0.999995,0.0,0.0,0.00326381,0.0,0.0,-0.0,1,0,0,0,0,0
30392000,0.0,0.0,0.00639056,0.0,0.999995,0.0,0.0,0.00319528,0.0,0.0,-0.0,1,0,0,0,0,0
30492000,0.0,0.0,0.00675514,0.0,0.999994,0.0,0.0,0.00337756,0.0,0.0,-0.0,1,0,0,0,0,0
30588000,0.0,0.0,0.006501,0.0,0.999995,0.0,0.0,0.00325049,0.0,0.0,-0.0,1,0,0,0,0,0
30684000,0.0,0.0,0.00638465,0.0,0.999995,0.0,0.0,0.00319232,0.0,0.0,-0.0,1,0,0,0,0,0
